dx,dy,dtheta,dv
-5.780099728099230560e-03,-3.174328059449393891e-02,-1.521448346025533471e-01,-9.589114489785388606e-01
-2.532374831304196050e-02,3.193128840003112145e-03,-9.260068327880865979e-02,6.557162502106694824e-01
-1.483879776964158737e-02,-3.881948843755722578e-02,-1.009657902969693932e-01,-9.726655588185533219e-01
-3.417979149642746961e-02,-3.659310277726035565e-03,2.290014233365411656e-02,6.623283474955732331e-01
-2.353377963081015878e-02,-4.291754065632602533e-02,1.879148924822393596e-02,-5.848105751885874781e-01
-3.065776346227266913e-02,-3.198509889610789969e-03,2.446891489093694361e-02,6.172513282395861722e-01
-3.488206032585594585e-03,-3.042326222261948487e-02,9.744651964899375685e-03,-6.240679532619175518e-01
-6.305522694177057019e-03,2.152560077703569164e-02,9.705048306043906337e-03,8.710544668000590462e-01
1.758365280277018883e-02,-2.354988370925070740e-02,-7.489038930837299546e-03,-8.810786200981186589e-01
-3.444658825003443781e-03,1.638782775716052242e-02,8.937771918501091761e-03,5.689190611424606026e-01
1.326382849089213778e-02,-1.954996909632100710e-02,9.651935722816418206e-04,-7.048645759862048887e-01
6.097956911801816204e-03,5.881118580166599941e-03,1.088674909364284460e-02,1.504659135476240639e-01
1.676840871461138249e-02,-1.528038451980862078e-02,6.616695027520602679e-03,-6.333071073700822229e-01
7.756747050336798566e-03,4.030405476381559993e-03,8.037458766160909818e-03,5.961776988240052866e-02
1.168318944969826134e-02,1.069520216495689624e-02,2.559700449507928965e-03,2.063457105548083259e-01
1.264716091816353583e-02,8.936686646453750882e-03,1.137338875505378155e-04,1.429392820323067692e-01
1.993306909488978818e-02,-1.991809602698779713e-02,2.636745291235031985e-03,-8.531396645636506459e-01
7.000746194805174127e-03,2.368902543224749024e-03,6.673408679676695598e-03,6.011287385052632715e-04
9.187830384135509121e-03,5.386710870926236794e-03,3.606370992368823636e-03,4.506093959797219384e-02
9.630946014922869836e-03,9.531257066637266462e-03,4.101198501402780749e-04,1.684797422997725835e-01
9.203128177773578500e-03,9.203850932088641912e-03,4.364906944052115989e-04,1.681685334140148314e-01
8.147665091485123412e-03,6.863645330767553787e-03,-1.808500269642188130e-04,1.260981783967820569e-01
1.634245123882749340e-02,-2.307500193947475964e-02,2.585450225869090346e-03,-9.075010210359644169e-01
3.881862810757752413e-03,3.467038541877798252e-03,4.059129337139699700e-03,2.838932125417137353e-02
6.030618063732617884e-03,4.867441459484922461e-03,1.844159189700045332e-03,4.817871041791133013e-02
7.278425644869912503e-03,7.990124588278746387e-03,4.589070297769115570e-04,1.826226662711283311e-01
8.304379479426415855e-03,8.038487638536651048e-03,2.671600775376870018e-04,1.852853080361074323e-01
8.087033827294476396e-03,5.675323247047003861e-03,2.449947143245978509e-05,1.073930297919705179e-01
1.432545406984786496e-02,-2.123304941070713880e-02,2.765036759453165516e-03,-7.743476149500929662e-01
4.134878518726736729e-03,2.433241783435846628e-03,1.851852867245762368e-03,4.169288598237907983e-02
5.989803692273198976e-03,4.471134446152547071e-03,7.023734199387288157e-04,8.636738285616218924e-02
7.076298488627230654e-03,5.677293006019823451e-03,9.265292055478102640e-04,9.982716337959363084e-02
7.365697983047425623e-03,8.315332083036253152e-03,7.110852139409207240e-04,1.972557248375927941e-01
1.376047120551504577e-02,-2.187064599564791934e-02,2.988150203665496107e-03,-7.785193014973570413e-01
3.608616866173974813e-03,2.854731210344851888e-03,1.056741883723066877e-03,5.620016068872701887e-02
