x,y,theta,v
-7.321588897705078125e+01,2.286794853210449219e+01,1.850748086900135148e+00,9.534892645376368270e-01
-7.322206115722656250e+01,2.291889381408691406e+01,1.844971557337698798e+00,1.072933242489580774e+00
-7.322622680664062500e+01,2.295550155639648438e+01,1.841967777944198303e+00,5.371269219910018711e-01
-7.322904968261718750e+01,2.298331260681152344e+01,1.838974784353112568e+00,5.592852154050643732e-01
-7.323206329345703125e+01,2.301615905761718750e+01,1.834622646499705301e+00,7.376818284607474796e-01
-7.323548889160156250e+01,2.305635452270507812e+01,1.829238533723892335e+00,8.706486799035753066e-01
-7.323946380615234375e+01,2.310215759277343750e+01,1.823496891571735778e+00,9.444315710863439017e-01
-7.324162292480468750e+01,2.313682365417480469e+01,1.819881117759734934e+00,5.547861489469358975e-01
-7.324322509765625000e+01,2.316473007202148438e+01,1.816406092011345397e+00,6.155732429389466631e-01
-7.324475860595703125e+01,2.319577407836914062e+01,1.811914670832926788e+00,6.743206216156486521e-01
-7.324577331542968750e+01,2.323042869567871094e+01,1.806026022188597979e+00,6.989061869441576258e-01
-7.324618530273437500e+01,2.327011680603027344e+01,1.799774784161854990e+00,8.715609161218629275e-01
-7.324577331542968750e+01,2.329783439636230469e+01,1.795917461638984358e+00,3.859477840620243461e-01
-7.324631500244140625e+01,2.331830215454101562e+01,1.793321279050320571e+00,4.323340053328381671e-01
-7.324769592285156250e+01,2.334243583679199219e+01,1.790577557337266201e+00,5.431629960983920258e-01
-7.324877166748046875e+01,2.337222862243652344e+01,1.786526756161201490e+00,6.406858000000040798e-01
-7.325032043457031250e+01,2.340753173828125000e+01,1.779735695381499117e+00,7.310995575276423297e-01
-7.324923706054687500e+01,2.344448852539062500e+01,1.770517829058462445e+00,7.389342516117094473e-01
-7.324311828613281250e+01,2.348060035705566406e+01,1.760071712840681091e+00,7.722408109622248551e-01
-7.323381042480468750e+01,2.350462532043457031e+01,1.751248793307303098e+00,4.515199014721140713e-01
-7.322588348388671875e+01,2.352274322509765625e+01,1.743528156149108943e+00,4.329070237496706608e-01
-7.321675872802734375e+01,2.354326820373535156e+01,1.734186985467601527e+00,5.094458758406911203e-01
-7.320571136474609375e+01,2.356714248657226562e+01,1.723687073395800518e+00,6.009834976829615538e-01
-7.319297027587890625e+01,2.359474372863769531e+01,1.711308700649112335e+00,7.013356894751930914e-01
-7.317887878417968750e+01,2.362461662292480469e+01,1.697832439743038879e+00,7.414032395692073951e-01
-7.316516113281250000e+01,2.364792823791503906e+01,1.686174851545380271e+00,5.249035792893290697e-01
-7.315296936035156250e+01,2.366847419738769531e+01,1.676279477041027643e+00,5.379725267590488302e-01
-7.313725280761718750e+01,2.369219589233398438e+01,1.665761322315759463e+00,4.785353670063197673e-01
-7.312411499023437500e+01,2.371570205688476562e+01,1.654109726230553967e+00,5.304827255390298646e-01
-7.311073303222656250e+01,2.373986244201660156e+01,1.642491819133137687e+00,5.554973926338975243e-01
-7.309636688232421875e+01,2.376527023315429688e+01,1.630512920549961109e+00,6.094419231146018801e-01
-7.308336639404296875e+01,2.378505134582519531e+01,1.620420205808833503e+00,3.907898766843260208e-01
-7.307218933105468750e+01,2.380142021179199219e+01,1.611948956697400348e+00,4.179751941610325705e-01
-7.306066894531250000e+01,2.381930923461914062e+01,1.602770505158497061e+00,4.863269772415065306e-01
-7.304833984375000000e+01,2.383868026733398438e+01,1.593280463772054123e+00,5.306787981227102380e-01
-7.303514099121093750e+01,2.385863876342773438e+01,1.583459391462114452e+00,5.230981781398607033e-01
-7.302130126953125000e+01,2.387900352478027344e+01,1.572957348861441451e+00,5.530229438415944498e-01
